**Identified Tabular Datasets**

1.  **Employee Roster**
    *   **Quotes:**
        *   "employee timecards" (from instructions)
        *   "ensuring specialists are up to date on required certifications" (from instructions)
        *   "Staff Attendance Count" (from example Dataset 4: Senior Center Staff Training Events)
        *   "Session Leader ID" (from example Dataset 4: Senior Center Staff Training Events)
        *   "Inspector ID" (from example Dataset 2: Child Care Provider Home Inspections)
    *   **Why:** Fundamental for managing human resources, payroll, and tracking staff involvement across all agency operations.
    *   **One row represents:** A single employee of the agency.
    *   **Covers:** All individuals employed by the agency.
    *   **Columns:**
        *   Employee ID
        *   First Name
        *   Last Name
        *   Job Title
        *   Department
        *   Hire Date
        *   Employment Status (Active, Leave, Terminated)
        *   Contact Information (Email, Phone)
        *   Supervisor ID (linked to Employee ID)

2.  **Agency Facilities Registry**
    *   **Quotes:**
        *   "Building repair" (from instructions)
        *   "Maintain and operate public health centers and clinics as shall be established in the department" (§ Section 556.d.1)
        *   "employees of senior centers" (§ 21-203.b)
        *   "maintain such facilities for the mentally disabled as may be authorized under such appropriations" (§ Section 556.d.10)
    *   **Why:** Centralized record of all physical locations owned, operated, or managed by the agency for various programs.
    *   **One row represents:** A single agency facility (e.g., building, clinic, office, senior center).
    *   **Covers:** All physical locations under the agency's purview, including public health centers, senior centers, and administrative offices.
    *   **Columns:**
        *   Facility ID
        *   Facility Name
        *   Address
        *   Type (e.g., Public Health Center, Senior Center, Administrative Office, Mentally Disabled Facility)
        *   Square Footage
        *   Ownership Status (Owned/Leased)
        *   Date Acquired/Leased
        *   Last Renovation Date
        *   Capacity

3.  **Asset Registry**
    *   **Quotes:**
        *   "MRI machines and their status" (from instructions)
        *   "computers they maintain" (from instructions)
        *   "uniform provision" (from instructions)
        *   "Public Health Center Capital Tracking" (from example Dataset 7)
    *   **Why:** Essential for tracking all physical assets, their location, and status for maintenance, inventory, and financial management.
    *   **One row represents:** A single physical asset.
    *   **Covers:** All agency-owned or managed physical assets, including equipment, vehicles, furniture, IT hardware, and uniforms.
    *   **Columns:**
        *   Asset ID
        *   Asset Name
        *   Description
        *   Category (e.g., IT, Medical Equipment, Vehicle, Furniture, Uniform)
        *   Serial Number
        *   Purchase Date
        *   Purchase Cost
        *   Current Location (linked to Facility ID from Dataset 2: Agency Facilities Registry)
        *   Status (In Use, In Repair, Retired)
        *   Last Inventory Date
        *   Expected Lifespan

4.  **Vendor and Contractor Registry**
    *   **Quotes:**
        *   "enter into contracts for the rendition or operation of services and facilities for the mentally disabled on a per capita basis or otherwise" (§ Section 556.d.9)
        *   "authorized family child care service" (§ 21-120.1.a.5)
        *   "entities that contract with the department to provide services to senior citizens" (§ 21-203.b)
    *   **Why:** Centralized record of all external entities the agency contracts with for services or goods.
    *   **One row represents:** A single vendor, contractor, or authorized service provider.
    *   **Covers:** All external organizations or individuals providing services or goods to the agency.
    *   **Columns:**
        *   Vendor ID
        *   Vendor Name
        *   Contact Person
        *   Contact Information (Email, Phone, Address)
        *   Services/Goods Provided
        *   Status (Active, Inactive)

5.  **Contract Management**
    *   **Quotes:**
        *   "enter into contracts for the rendition or operation of services and facilities for the mentally disabled on a per capita basis or otherwise" (§ Section 556.d.9)
        *   "keeping software contracts" (from instructions)
        *   "payment is made by or pursuant to grants or contracts with a child care provider or authorized family child care service" (§ 21-120.1.a.6)
    *   **Why:** Essential for tracking all agency contracts, their terms, performance, and financial obligations.
    *   **One row represents:** A single contract or agreement.
    *   **Covers:** All contracts for services, goods, software, grants, and facility operations.
    *   **Columns:**
        *   Contract ID
        *   Vendor ID (linked to Dataset 4: Vendor and Contractor Registry)
        *   Contract Type (e.g., Service, Software License, Grant, Facility Operation)
        *   Description
        *   Start Date
        *   End Date
        *   Total Value
        *   Payment Schedule
        *   Department/Program Using
        *   Contract Manager (linked to Employee ID from Dataset 1: Employee Roster)
        *   Status (Active, Expired, Pending Renewal)

6.  **Financial Transactions and Payments**
    *   **Quotes:**
        *   "unpaid outstanding fines, penalties or forfeitures imposed by any court, administrative tribunal" (§ 17-373.e)
        *   "payment is made by or pursuant to grants or contracts with a child care provider or authorized family child care service or by issuance of a child care certificate to a parent" (§ 21-120.1.a.6)
        *   "within the amounts appropriated therefor, enter into contracts" (§ Section 556.d.9)
        *   "within the amounts appropriated therefor, execute such programs" (§ Section 556.d.10)
        *   "Public Health Center Inventory Orders" (from example Dataset 6)
        *   "Public Health Center Capital Tracking" (from example Dataset 7)
    *   **Why:** Essential for financial accountability, budgeting, and tracking all monetary flows, including revenue and expenditures.
    *   **One row represents:** A single financial transaction (e.g., payment, receipt, expenditure, fine assessment).
    *   **Covers:** All financial transactions related to agency operations, programs, penalties, and grants.
    *   **Columns:**
        *   Transaction ID
        *   Date
        *   Type (e.g., Payment, Receipt, Fine, Grant Disbursement, Purchase)
        *   Amount
        *   Payer/Payee ID (linked to various registries like Applicant/Organization, Vendor ID from Dataset 4: Vendor and Contractor Registry, Employee ID from Dataset 1: Employee Roster, Child Care Provider ID from Dataset 13: Child Care Provider Registry)
        *   Description
        *   Program/Budget Code
        *   Status (e.g., Paid, Outstanding, Received)
        *   Related Contract ID (linked to Dataset 5: Contract Management)

7.  **Employee Timecards**
    *   **Quotes:**
        *   "employee timecards" (from instructions)
    *   **Why:** Essential for payroll processing, project costing, labor law compliance, and tracking employee work hours.
    *   **One row represents:** A single employee's time entry for a specific period or task.
    *   **Covers:** All employee work hours and activities.
    *   **Columns:**
        *   Timecard Entry ID
        *   Employee ID (linked to Dataset 1: Employee Roster)
        *   Date
        *   Start Time
        *   End Time
        *   Break Time (minutes)
        *   Project/Task Code
        *   Department
        *   Supervisor Approval (Boolean)
        *   Hours Worked

8.  **Employee Certifications and Training Compliance**
    *   **Quotes:**
        *   "ensuring specialists are up to date on required certifications" (from instructions)
        *   "require that employees of senior centers ... be trained in elder abuse detection, reporting and counseling, and receive supplemental refresher training regarding the same at least once every 3 years" (§ 21-203.b)
        *   "Senior Center Staff Training Attendance" (from example Dataset 5)
    *   **Why:** Ensures staff are qualified, compliant with professional standards, and meet mandatory training requirements.
    *   **One row represents:** A single certification or mandatory training record for an employee.
    *   **Covers:** All professional certifications, licenses, and mandatory training completions required for agency staff.
    *   **Columns:**
        *   Employee Certification ID
        *   Employee ID (linked to Dataset 1: Employee Roster)
        *   Certification/Training Name
        *   Issuing Body/Training Provider
        *   Date Issued/Completed
        *   Expiration Date
        *   Status (Active, Expired, Pending Renewal, Compliant)
        *   Renewal Date Required By
        *   Related Training Event ID (linked to Dataset 19: Senior Center Staff Training Events, if applicable)

9.  **Call Center Complaint and Inquiry Logs**
    *   **Quotes:**
        *   "call center complaint logs" (from instructions)
        *   "directs those who need information regarding elder abuse detection, reporting, counseling and services to call either the 311 citizen service system or the department's Elderly Crime Victims Resource Center" (§ 21-203.d)
    *   **Why:** Essential for tracking public feedback, identifying systemic issues, ensuring timely resolution, and monitoring service quality.
    *   **One row represents:** A single complaint, inquiry, or service request received.
    *   **Covers:** All complaints, inquiries, and service requests received via call center or other public contact points.
    *   **Columns:**
        *   Complaint ID
        *   Date Received
        *   Time Received
        *   Caller Information (Anonymous/Name/Contact Details)
        *   Complaint/Inquiry Type
        *   Program/Department Affected
        *   Description
        *   Status (Open, In Progress, Resolved, Escalated)
        *   Resolution Details
        *   Date Resolved
        *   Employee ID (linked to Dataset 1: Employee Roster) who handled the initial contact/resolution

10. **Maintenance Records**
    *   **Quotes:**
        *   "maintenance records" (from instructions)
        *   "Maintain and operate public health centers and clinics" (§ Section 556.d.1)
        *   "Building repair" (from instructions)
    *   **Why:** Essential for facility and equipment upkeep, ensuring safety, operational continuity, and compliance with maintenance schedules.
    *   **One row represents:** A single maintenance event or work order.
    *   **Covers:** Maintenance activities for all agency buildings, facilities, and equipment.
    *   **Columns:**
        *   Maintenance ID
        *   Asset ID (linked to Dataset 3: Asset Registry)
        *   Facility ID (linked to Dataset 2: Agency Facilities Registry)
        *   Maintenance Type (e.g., Preventive, Corrective, Emergency)
        *   Description of Work
        *   Date Requested
        *   Date Completed
        *   Performed By (linked to Employee ID from Dataset 1: Employee Roster or Vendor ID from Dataset 4: Vendor and Contractor Registry)
        *   Cost (linked to Transaction ID from Dataset 6: Financial Transactions and Payments)
        *   Status (e.g., Scheduled, In Progress, Completed, Deferred)

11. **Pet Shop Permits and Applications**
    *   **Quotes:**
        *   "An application for a permit required pursuant to section 17-372 of this title or for the renewal of such a permit shall be made and submitted on forms furnished by the department." (§ 17-373.a)
