**Data Systems Plan for the Department of Citywide Administrative Services (DCAS)**

As an operations expert, I have meticulously analyzed the provided charter to identify the critical tabular datasets required for the Department of Citywide Administrative Services (DCAS) to fulfill its legal obligations and effectively manage its diverse operations. The datasets are structured by workflow and department, ensuring accuracy, security, and utility for management decision-making and oversight.

---

**Tabular Datasets**

1.  **Employee Records (Citywide)**
    *   **OpenData Match:** N/A
    *   **Quotes:**
        *   "The commissioner shall be responsible for citywide personnel matters" (Section 811)
        *   "The personnel policies and practices of the city government, in furtherance of this charter, the civil service law and rules and other applicable law, shall: (1) preserve and promote merit and fitness in city employment, (2) ensure that appointments and promotions in city service are made, and that wages are set, without regard to political affiliation, and without unlawful discrimination based on sex, race, color, religion, religious observance, national origin, disability, age, marital status, citizenship status or sexual orientation; and promote and support the efficient and effective delivery of services to the public." (Section 812.a)
        *   "To keep records regarding candidates for appointment to the civil service and officers and employees in the civil service" (Section 814.a.9)
        *   "The commissioner shall submit a quarterly report to the mayor, the council, the civil service commission and the equal employment practices commission. Such report shall specify, by agency and by title, including temporary titles: (1) the number of provisional employees at the end of the second month of the quarter; (2) the length of time such provisional employees have served in their positions; and (3) the actions taken by the city to reduce the number of such provisional employees and the length of their service in such positions." (Section 814.e)
        *   "The commissioner, acting through the office, shall have the power to: (1) Compile and report on statistics relating to hiring, salary, and promotion for all city agencies disaggregated by race, gender, civil service classification, and other categories as appropriate, and make such reports publicly available online on an annual basis." (Section 814.1.c.1)
        *   "Such report shall include, but not be limited to, an analysis of the city government workforce and applicants for such employment by agency, title and classification except where a civil service exam was the basis of appointment; statistics relating to hiring, salary and promotion for all city agencies disaggregated by race, gender, and civil service classification and other categories as appropriate; a description of each agency's employment practices, policies and programs; an analysis of the effectiveness of the city's efforts to provide fair and effective affirmative employment practices to ensure equal employment opportunity for minority group members and women who are employed by, or who seek employment with, city agencies; an analysis of employee response rates to efforts to collect demographic information over time, and whether changes in the racial and ethnic classification categories used to collect demographic information have had an impact on employee response rates; a review of racial and ethnic classification categories used to collect demographic information and recommendations for how to improve the use of such categories to reflect the city government workforce; and such legislative, programmatic and budgetary recommendations for the development, implementation or improvement of such activities as the commissioner deems appropriate." (Section 814.1.c.10)
        *   "To maintain personnel records" (Section 815.a.17)
        *   "No later than September 30, 2023, and by each September 30 thereafter, the head of each city agency shall publish and submit to the mayor, the speaker of the council, the department of citywide administrative services, and the equal employment practices commission a report that contains the following information: (1) Number of new full-time and part-time employees retained by such agency; (2) Number of employees promoted at such agency, their level of promotion, old and new titles, and their change in pay; (3) Number of employees terminated by such agency and their pay at the time of termination; (4) Number of employees that left such agency and the pay received by such employees; and (5) Aggregated data showing the frequency of full-time, part-time, and seasonal employees retained by such agency, EEO-4 job group, pay band, race, ethnicity, gender, and any factors that affect the pay of such employees." (Section 815.l)
    *   **Why:** Essential for managing citywide personnel, payroll, EEO reporting, and comprehensive workforce analysis.
    *   **One row represents:** A single city employee.
    *   **Covers:** All current and past city employees, including full-time, part-time, seasonal, provisional, interns, independent contractors, and volunteers.
    *   **Columns:** Employee ID, Agency ID (2), Employee Name, Date of Birth, Gender, Race, Ethnicity, National Origin, Religion, Disability Status, Age, Marital Status, Citizenship Status, Sexual Orientation, Political Affiliation, Hire Date, Termination Date, Reason for Termination, Current Employment Status (Active, Terminated, Leave), Employee Type (Full-time, Part-time, Seasonal, Provisional, Intern, Independent Contractor, Volunteer), Civil Service Class (Competitive, Non-competitive, Exempt, Labor), Civil Service Title ID (3) (Current), Old Civil Service Title ID (3) (for promotions), Managerial Assignment Level (if applicable), EEO-4 Job Group, Pay Band, Current Salary, Pay Change (for promotions), Last Performance Evaluation Date, Probationary Period End Date, Collective Bargaining Unit, Union Membership Status, Provisional Appointment Date, Length of Provisional Service, Provisional Status Compliance Review Date, Provisional Status Compliance Outcome.

2.  **Agency Information**
    *   **OpenData Match:** N/A
    *   **Quotes:**
        *   "The commissioner shall be responsible for citywide personnel matters, as set forth in this chapter, and shall have all the powers and duties of a municipal civil service commission provided in the civil service law or in any other statute or local law other than such powers and duties as are by this chapter assigned to the mayor, the city civil service commission or the heads of the city agencies" (Section 811)
        *   "The commissioner shall submit a quarterly report to the mayor, the council, the civil service commission and the equal employment practices commission. Such report shall specify, by agency and by title, including temporary titles: (1) the number of provisional employees at the end of the second month of the quarter; (2) the length of time such provisional employees have served in their positions; and (3) the actions taken by the city to reduce the number of such provisional employees and the length of their service in such positions." (Section 814.e)
        *   "The commissioner, acting through the office, shall have the power to: (1) Compile and report on statistics relating to hiring, salary, and promotion for all city agencies disaggregated by race, gender, civil service classification, and other categories as appropriate, and make such reports publicly available online on an annual basis." (Section 814.1.c.1)
        *   "The head of each city agency shall quarterly publish and submit to the mayor, council, department of citywide administrative services, and the equal employment practices commission a report on the agency's efforts during the previous quarter to implement the plan adopted pursuant to paragraph nineteen of subdivision a of section eight hundred fifteen." (Section 815.i)
