**Section 1, Mission Summary:**
The agency's mission is to oversee and regulate various aspects of education, from commission governance and financial management to professional licensing, special education for vulnerable populations, historical records preservation, and standardized testing, as well as providing aid and setting standards for school districts regarding instructional materials and technology. Key programs include managing the Educational Commission of the States, administering professional licenses, ensuring educational standards for children in residential care and on Indian reservations, supporting historical records programs, managing employee benefits, facilitating interstate library districts, regulating standardized testing, and providing aid for textbooks, library materials, software, and hardware to school districts, alongside ensuring accessible instructional materials for higher education students with disabilities. The agency impacts constituents by ensuring educational quality, accessibility, and accountability across various levels of the state's education system.

**Section 2, Data Summary:**

1.  **Agency Governance & Operations**
    *   Commission Member Roster
    *   Commission Meeting Records
    *   Commission Financial Transactions
    *   Agency Employees
    *   Employee Extended Leaves of Absence
    *   Employee Salary Reduction Agreements
    *   Employee Retirement Program Elections
    *   Employee Retirement Program Contributions
    *   Retirement Program Insurer Designations
    *   State Education Building Auditorium Use Permits
    *   Geographic Name Determinations

2.  **Professional Licensing Program**
    *   Professional License Applications & Refunds

3.  **Children in Residential Care Education Program**
    *   Residential Facilities
    *   Children in Residential Care Educational Programs
    *   Residential Facility Compliance Inspections
    *   Confined Student Diploma Issuances
    *   Special Education Dispute Appeals

4.  **Historical Records Program**
    *   Historical Records Program Grants
    *   Historical Records Program Aid Allocations

5.  **Interstate Library District Program**
    *   Interstate Library Districts
    *   Interstate Library District Board Member Appointments
    *   Interstate Library District Financial Contributions

6.  **Standardized Testing Program**
    *   Test Agencies
    *   Tests
    *   Test Subjects
    *   Test Administrations
    *   Test Subject Scores & Demographics
    *   Test Forms & Questions
    *   Test Item Performance Metrics
    *   Test Subject Answer Records
    *   Test Content Disclosures
    *   Test Score Irregularity Investigations
    *   Test Subject Rights Complaints
    *   Test Question Challenges
    *   Test Agency Violations
    *   Test Agency Financial Reports
    *   Test Background Research Reports

7.  **School District Instructional Resources & Aid Programs**
    *   School Districts
    *   Students (K-12)
    *   School District Enrollment Data
    *   School District Textbook Designations
    *   School District Textbook Inventory
    *   School District Textbook Loan Records
    *   School District Textbook Aid Apportionments
    *   Textbook Content Reviews & Disapprovals
    *   School District Library Material Designations
    *   School District Library Material Inventory
    *   School District Library Material Loan Records
    *   School District Library Material Aid Apportionments
    *   School District Software Designations
    *   School District Software Inventory
    *   School District Software Loan Records
    *   School District Software Aid Apportionments
    *   School District Instructional Hardware/Equipment Inventory
    *   School District Instructional Hardware/Equipment Loan Records
    *   School District Instructional Hardware/Equipment Aid Apportionments

8.  **Higher Education Instructional Materials Accessibility Program**
    *   Colleges/Institutions of Higher Education
    *   Publishers
    *   Instructional Materials (Higher Ed)
    *   Higher Ed Student Disability Material Requests
    *   Publisher Electronic Material Availability
    *   Publisher Textbook Price Lists
    *   College Textbook Adoption Orders

9.  **Indian Reservation Education Program**
    *   Indian Reservation Education Program Standards

**Section 3, Data Details:**

**1. Commission Member Roster**
*   **Open Data Match:** No direct match.
*   **Quotes:**
    *   § 107.III.A "The commission shall consist of seven members representing each party state. One of such members shall be the governor; two shall be members of the state legislature selected by its respective houses and serving in such manner as the legislature may determine; and four shall be appointed by and serve at the pleasure of the governor, unless the laws of the state otherwise provide." (1)
    *   § 107.III.A "In addition to the members of the commission representing the party states, there may be not to exceed ten non-voting commissioners selected by the steering committee for terms of one year. Such commissioners shall represent leading national organizations of professional educators or persons concerned with educational administration." (1)
    *   § 107.III.D "The commission shall elect annually, from among its members, a chairman, who shall be a governor, a vice chairman and a treasurer." (1)
    *   § 107.VI.A "To assist in the expeditious conduct of its business when the full commission is not meeting, the commission shall elect a steering committee of thirty members... One-third of the voting membership of the steering committee shall consist of governors, and the remainder shall consist of other members of the commission." (1)
    *   § 107.VI.A "The voting members of the steering committee shall serve for terms of two years, except that members elected to the first steering committee of the commission shall be elected as follows: fifteen for one year and fifteen for two years." (1)
    *   § 107.VI.A "The chairman, vice chairman, and treasurer of the commission shall be members of the steering committee and, anything in this paragraph to the contrary notwithstanding, shall serve during their continuance in these offices." (1)
    *   § 107.VI.A "No person shall serve more than two terms as a member of the steering committee: provided that service for a partial term of one year or less shall not be counted toward the two term limitation." (1)
    *   § 107.VIII.C "During any period when a state is participating in this compact through gubernatorial action, the governor shall appoint those persons who, in addition to himself, shall serve as the members of the commission from his state..." (1)
    *   § 107.IX.2 "Of the seven members of the educational commission of the states representing this state, one shall be the governor, one shall be appointed by the temporary president of the senate from among the members of that body, one shall be appointed by the speaker of the assembly from among the members of that body, one shall be the commissioner of education, and three shall be appointed by and serve at the pleasure of the governor." (1)
*   **Why:** The agency must track who serves on the commission and its committees to ensure proper composition and term limits.
*   **One row represents:** A single member's appointment or election to the commission or a committee.
*   **Covers:** All voting and non-voting members of the Educational Commission of the States, its steering committee, and other committees.
*   **Columns:** Member ID (PK), Member Name, Representing State (if applicable), Appointment/Election Date, Role (Governor, Legislator, Appointee, Non-voting Commissioner, Chairman, Vice Chairman, Treasurer, Steering Committee Member, Advisory Committee Member), Appointing Authority (Governor, Legislature, Steering Committee), Term Start Date, Term End Date, Is Current Member?, Number of Steering Committee Terms Served, Notes.

**2. Commission Meeting Records**
*   **Open Data Match:** No direct match.
*   **Quotes:**
    *   § 107.III.B "No action of the commission shall be binding unless taken at a meeting at which a majority of the total number of votes on the commission are cast in favor thereof. Action of the commission shall be only at a meeting at which a majority of the commissioners are present. The commission shall meet at least once a year." (2)
    *   § 107.III.B "In its bylaws, and subject to such directions and limitations as may be contained therein, the commission may delegate the exercise of any of its powers to the steering committee or the executive director, except for the power to approve budgets or requests for appropriations, the power to make policy recommendations pursuant to article V and adoption of the annual report pursuant to article III (j)." (2)
*   **Why:** The agency must document official meetings, attendance, quorum, and decisions for legal and accountability purposes.
*   **One row represents:** A single meeting of the commission or its committees.
*   **Covers:** All official meetings of the Educational Commission of the States, its steering committee, and other committees.
*   **Columns:** Meeting ID (PK), Meeting Date, Meeting Type (Commission, Steering Committee, Advisory Committee), Location, Total Voting Members, Members Present Count, Quorum Met? (Yes/No), Total Votes Cast, Votes in Favor Count, Action Binding? (Yes/No), Key Decisions/Actions Taken (summary), Minutes Document ID (link to non-tabular document).

**3. Commission Financial Transactions**
*   **Open Data Match:** No direct match.
*   **Quotes:**
    *   § 107.III.G "The commission may accept for any of its purposes and functions under this compact any and all donations, and grants of money, equipment, supplies, materials and services, conditional or otherwise, from any state, the United States, or any other governmental agency, or from any person, firm, association, foundation, or corporation, and may receive, utilize and dispose of the same." (3)
    *   § 107.III.G "Any donation or grant accepted by the commission pursuant to this paragraph or services borrowed pursuant to paragraph (f) of this article shall be reported in the annual report of the commission. Such report shall include the nature, amount and conditions, if any, of the donation, grant, or services borrowed, and the identity of the donor or lender." (3)
    *   § 107.VII.A "The commission shall advise the governor or designated officer or officers of each party state of its budget and estimated expenditures for such period as may be required by the laws of that party state. Each of the commission's budgets of estimated expenditures shall contain specific recommendations of the amount or amounts to be appropriated by each of the party states." (3)
    *   § 107.VII.B "The total amount of appropriation requests under any budget shall be apportioned among the party states. In making such apportionment, the commission shall devise and employ a formula which takes equitable account of the populations and per capita income levels of the party states." (3)
