**Section 1, Mission Summary:**

The Fire Department is responsible for the government, discipline, management, maintenance, and direction of the fire department, including extinguishing fires, providing emergency medical services, enforcing fire safety laws, and investigating fires within the city's jurisdiction. The agency protects lives and property by responding to emergencies, preventing fires, and ensuring compliance with fire safety regulations.

**Section 2, Data Summary:**

1.  Fire/EMS Incident Log
2.  Department Employee Records
3.  Property/Premises Inspection Records
4.  Fire Safety Violation Cases
5.  Recruitment and Examination Data
6.  Employee Training Records
7.  Fire Hydrant Inspection Records
8.  Department Asset Inventory
9.  Fire Alarm System Component Inventory
10. EEO Complaint Cases
11. Container Installation Approvals
12. Auxiliary Fire Alarm System Connections
13. Fines and Penalties Collection Log
14. Outreach Event Log
15. Vessel Removal Orders
16. Building Razing Orders
17. Arson Reward Payments

**Section 3, Data Details:**

**1. Fire/EMS Incident Log**

**Quotes:**
*   Section 487.b: "The department shall have sole and exclusive power and authority to extinguish fires at any place within the jurisdiction of the city and shall have power and authority to extinguish fires upon any vessel in the port of New York or upon any dock, wharf, pier, warehouse or other structure bordering upon or adjacent to such port."
*   Section 487.f: "The department shall have the power and authority to provide general ambulance services, emergency medical services and other response services necessary to preserve public health, safety and welfare, and to perform any functions relating to the provision of such services."
*   Section 488.2: "The investigation of the cause, circumstances and origin of fires and the suppression of arson."
*   Section 15-101.b.1: "A fire bureau in the charge of the chief of the department which shall have charge of the extinguishment of fires and the necessary and incidental protection of life and property in connection therewith."
*   Section 15-129.b: "The department shall track the duration of time between a report to a 911 operator to which fire units or ambulances are required to respond and the time when the first fire unit, which shall include ladders and engines only, or the first ambulance unit, arrives on scene in the following categories: (1) Average response time to structural fires; (2) Average response time to non-structural fires; (3) Average response time to non-fire emergencies; (4) Average response time to medical emergencies by ambulance units, in total and disaggregated by segment; (5) Average response time to medical emergencies by fire units, in total and disaggregated by segment; (6) Percentage of response time to Advanced Life Support medical emergencies by Advanced Life support ambulances, in total and disaggregated by segment, in the following categories: (i) less than 6 minutes, (ii) between 6 and 10 minutes, (iii) between 10 and 20 minutes, and (iv) more than 20 minutes; and (7) Percentage of response time to structural and non-structural fires by fire units in the following categories: (i) less than 5 minutes, (ii) between 5 and 10 minutes, (iii) between 10 and 20 minutes, and (iv) more than 20 minutes."
*   Section 15-131.a.1: "Whether a smoke detector or alarm was found at the location of any fire in which there was a civilian fire fatality or life-threatening injury during the preceding calendar year. For each fire in which there was a civilian fire fatality or life-threatening injury where a smoke detector or alarm was found, such report shall indicate the technology used by such smoke detector or alarm and whether such smoke detector or alarm was operational, provided that such information can be ascertained."
*   Section 15-131.a.2: "Whether a fire sprinkler was found at the location of any fire greater than a first alarm fire during the preceding calendar year. For each fire greater than a first alarm fire in which a fire sprinkler was found, such report shall indicate whether such sprinkler was operational and activated during such incident, provided that it is possible for the department to obtain such information."
*   Section 15-131.b: "The department shall ascertain from the office of the chief medical examiner the cause of death for any civilian fire fatality, as defined by such office."
*   Section 15-136.c.3: "The number of instances in the quarter that an emergency medical technician or other first responder employed by the department administered an opioid antagonist to a patient, disaggregated by borough, division, and by method of administration, such as syringe injection or nasal atomizer."
*   Section 15-136.c.4: "The number, expressed in both absolute terms and as a percentage of all administrations, of instances in which the patient responded to the administration of an opioid antagonist."
*   Section 15-150.b: "An agency designated by the mayor shall notify a council member when an all hands fire occurs within the district of such council member. Such notification shall be sent via electronic mail within 3 hours of the fire department deploying its personnel to the scene of such incident, and shall include: 1. The date and time of such fire; 2. The address of such fire; and 3. Details of the fire department’s emergency response to such fire, including but not limited to, the initial and highest alarm level of such fire."
*   Section 15-218.1: "The origin, detail and management of fires in the city, particularly of supposed cases of arson, incendiarism, or fires due to criminal carelessness."
*   Section 15-220.b: "The chief fire marshal, or other person conducting such investigation shall take the testimony, under oath, of all persons supposed to be cognizant of any fact, or to have means of knowledge, in relation to the subject of the investigation, and shall cause the same to be reduced to writing and verified. All such testimony, together with the report of the investigating officer setting forth his or her opinions and conclusions in respect to the matter, shall be transmitted to the commissioner."

**Why:** Tracking all emergency responses is fundamental to the department's mission and required for performance reporting.

**One row represents:** A single emergency incident (fire, medical, or other).

**Covers:** All emergency responses by fire units and ambulance units, including fires, medical emergencies, and other non-fire emergencies.

**Columns:**
*   Incident ID
*   911 Call ID
*   Incident Date
*   Incident Time
*   Incident Location (Address, Borough, Community District, Division)
*   Incident Type (Structural Fire, Non-Structural Fire, Medical Emergency, Non-Fire Emergency, Other)
*   Initial Alarm Level
*   Highest Alarm Level
*   First Unit Dispatched Time
*   First Unit Arrived On Scene Time
*   Response Time (Calculated)
*   Responding Fire Units (List of Unit IDs from Dataset 8)
*   Responding Ambulance Units (List of Unit IDs from Dataset 8)
*   Number of Personnel Deployed
*   Civilian Fatalities (Count)
*   Civilian Life-Threatening Injuries (Count)
*   Firefighter Injuries (Count)
*   Property Damage Estimate
*   Smoke Detector/Alarm Found (Yes/No)
*   Smoke Detector/Alarm Technology
*   Smoke Detector/Alarm Operational (Yes/No)
*   Fire Sprinkler Found (Yes/No)
*   Fire Sprinkler Operational (Yes/No)
*   Fire Sprinkler Activated (Yes/No)
*   Civilian Fire Fatality Cause of Death (from Medical Examiner)
*   Opioid Antagonist Administered (Yes/No)
*   Opioid Antagonist Administration Method
*   Patient Response to Opioid Antagonist (Yes/No)
*   Fire Cause (e.g., Accidental, Arson, Criminal Carelessness, Undetermined)
*   Investigation Status
*   Investigation Outcome
*   Arson Suspect Arrested (Yes/No)
*   Council Member Notification Sent (Yes/No)
*   Council Member Notification Time

**2. Department Employee Records**

**Quotes:**
*   Section 481: "There shall be a fire department the head of which shall be the commissioner."
*   Section 483: "The commissioner may appoint three deputies..."
*   Section 484: "The commissioner may designate a clerk or chief of a bureau..."
*   Section 487.a: "The commissioner shall have sole and exclusive power and perform all duties for the government, discipline, management, maintenance and direction of the fire department and the premises and property in the custody thereof..."
*   Section 15-103.a: "To qualify for membership in the department a person shall be: 1. A citizen of the United States. 2. Able understandingly to read and write the English language. 3. Shall have passed his or her eighteenth birthday but not his or her twenty-ninth birthday on the date of the filing of his or her application for civil service examination. No person who qualifies under this requirement shall be disqualified from membership in the department because of having passed his or her twenty-ninth birthday subsequent to the filing of his or her application. However no person shall be appointed unless he or she shall have attained his or her twenty-first birthday."
*   Section 15-103.b: "A conviction of a felony shall disqualify all persons from membership in the department."
*   Section 15-104: "Preliminary to a permanent appointment as firefighter there shall be a period of probation for such time as is fixed by the civil service rules, and no person shall receive a permanent appointment who has not served the required probationary period."
*   Section 15-105: "Each member of the uniformed force shall take an oath of office and subscribe the same before an officer of the department empowered to administer an oath."
*   Section 15-106: "Every member of the uniformed force shall have issued to him or her a warrant of appointment signed by the commissioner."
*   Section 15-107: "Members of the uniformed force, upon appointment, shall be assigned to the fourth grade; after one year of service in the fourth grade they shall be advanced to the third grade; after one year of service in the third grade, they shall be advanced to the second grade; after one year of service in the second grade, they shall be advanced to the first grade; and they shall in each instance receive the annual pay or compensation of the grade to which they belong."
*   Section 15-108: "Each member of the uniformed force shall be paid full pay or compensation during absence from duty caused by injury or sickness, except as otherwise provided by law."
*   Section 15-108.1.a: "A member or officer of the force shall be entitled pursuant to this section to the full amount of his or her regular salary for the period of any incapacity due to illness or injury incurred in the performance and discharge of duty as a member or officer of the force, as determined by the department."
*   Section 15-109: "Firefighters of the first grade shall be paid a minimum of three thousand dollars per annum."
*   Section 15-110: "Promotions of officers and members of the force shall be made by the commissioner on the basis of seniority, meritorious service in the department and superior capacity as shown by competitive examination."
*   Section 15-111.a.1: "Any member of the uniformed force of the fire department, who immediately prior to his or her appointment or employment as such, has served or shall have served as a member of the police force of the police department, shall have the time served by such member in such police department counted as service in the fire department in determining his or her retirement and pension in such department as herein or otherwise provided..."
*   Section 15-112.a: "The commissioner shall divide the deputy chiefs, battalion chiefs, captains, lieutenants, engineers and firefighters, marine engineers and pilots in boats of the department into platoons, and such divisions shall be fully completed and the provisions hereof fully effectuated. None of such platoons, or any member thereof, shall be assigned to more than one tour of duty in any twenty-four consecutive hours."
*   Section 15-113: "The commissioner shall have power, in his or her discretion on conviction of a member of the force of any legal offense or neglect of duty, or violation of rules, or neglect or disobedience of orders or incapacity, or absence without leave, or any conduct injurious to the public peace or welfare, or immoral conduct, or conduct unbecoming an officer or member, or other breach of discipline, to punish the offending party by reprimand, forfeiture and withholding of pay for a specified time, or dismissal from the force..."
*   Section 15-114: "Any member of the department who shall withdraw or resign without the permission of the commissioner shall be subject to the forfeiture of salary due to such member. Unexplained absence, without leave, of any member of the uniformed force, for five days, shall be deemed and held to be a resignation by such member, and accepted as such."
*   Section 15-115.a: "Upon written application to the mayor by the person aggrieved, setting forth the reasons for demanding such rehearing, the commissioner may rehear the charges upon which a member or a probationary member of the uniformed force has been dismissed, or reduced from the rank theretofore held by him or her."
*   Section 15-119: "Whenever any member of the uniformed force of the department, while in the actual performance of his or her duty, shall lose or have destroyed any of his or her personal belongings, and shall present satisfactory proof thereof to the commissioner, such member shall be reimbursed to the extent of the loss sustained, at the expense of the city."
*   Section 15-121.a: "Except as otherwise provided in subdivision c of this section no member of the uniformed force of the department except medical officers, who is or hereafter attains the age of sixty-five years shall continue to serve as a member of such force but shall be retired and placed on the pension rolls of the department..."
*   Section 15-137.c.2: "The assigned number of each emergency medical services station within each emergency medical services division, the geographic area each such emergency medical services station covers, including any formal and commonly known names and the area in square miles, and the number of department personnel assigned to each such emergency medical services station."
*   Section 15-145.a.1: "The number of employees assigned to each fire company and special operations unit, disaggregated by: (i) gender and (ii) race or ethnicity. Such reporting shall include information on employees on detail, desk or modified assignment, or medical leave."

**Why:** Managing a large staff requires comprehensive records for HR, payroll, discipline, and operational deployment.

**One row represents:** A single employee of the Fire Department.

**Covers:** All uniformed and civilian employees of the Fire Department.

**Columns:**
*   Employee ID
*   First Name
*   Last Name
*   Date of Birth
*   Gender
*   Race/Ethnicity
*   Citizenship Status
*   English Language Proficiency
*   Felony Conviction Status
*   Date of Appointment
*   Appointment Type (Permanent, Probationary)
*   Probationary Period End Date
*   Oath of Office Date
*   Warrant of Appointment Issued (Yes/No)
*   Current Rank/Grade
*   Date of Last Promotion
*   Previous Police Service (Yes/No)
*   Previous Police Department
*   Previous Police Service Start Date
*   Previous Police Service End Date
*   Pension Fund Contribution Amount (if applicable)
*   Current Salary/Compensation
*   Current Platoon Assignment
*   Current Tour of Duty
*   Assigned Fire Company/EMS Station (Link to Dataset 8)
*   Assignment Type (e.g., Active Duty, Detail, Desk, Modified, Medical Leave)
*   Disciplinary Actions (Link to Dataset 4)
*   Absence Without Leave (Yes/No)
*   Resignation Date
*   Reinstatement Date
*   Injury/Sickness Leave Start Date
*   Injury/Sickness Leave End Date
*   Line of Duty Injury/Sickness (Yes/No)
*   Property Loss Reimbursement Claim (Link to Dataset 13)
*   Retirement Eligibility Age
*   Mandatory Retirement Date
*   Continued Service Approval (Yes/No)
*   EEO Complaint History (Link to Dataset 10)
*   Body Armor Provided (Yes/No)
*   Body Armor Issue Date
*   Body Armor Return Date

**3. Property/Premises Inspection Records**

**Quotes:**
*   Section 488.1: "The commissioner shall have the power and it shall be his duty to enforce all laws and the rules and regulations of the board of standards and appeals in respect to: 1. The manufacture, storage, sale, transportation or use of combustibles, chemicals, explosives, inflammable or other dangerous substances, articles, compounds or mixtures."
