**Identified Tabular Datasets**

1.  **Birth, Fetal Death, and Death Registrations**
    *   **Quotes:**
        *   "Supervise and control the registration of births, fetal deaths and deaths;" (Section 556.c.1)
        *   "The board of health shall prescribe in the health code the persons who shall be required to keep a registry of birth, fetal deaths, and deaths occurring in the city and file certifications thereof with the department and the form and manner in which such registry shall be kept and certificates filed" (Section 558.c)
    *   **Why:** The agency must track all vital events to fulfill its core public health and legal mandate.
    *   **One row represents:** A single registered birth, fetal death, or death event.
    *   **Covers:** All births, fetal deaths, and deaths occurring within the city's jurisdiction.
    *   **Columns:**
        *   Registration ID
        *   Event Type (Birth, Fetal Death, Death)
        *   Event Date
        *   Event Location
        *   Individual ID (for Births/Deaths)
        *   Individual Name (First, Middle, Last)
        *   Parent/Guardian Information (for Births)
        *   Cause of Death (for Deaths/Fetal Deaths)
        *   Certifying Physician/Medical Examiner ID
        *   Date Filed
        *   Registrar ID
        *   Status (Registered, Amended)
        *   [Medical Examiner Death Investigation ID (14)] (if applicable for deaths)

2.  **Medical Examiner Death Investigations**
    *   **Quotes:**
        *   "The chief medical examiner shall have such powers and duties as may be provided by law in respect to bodies of person dying from criminal violence, by accident, by suicide, suddenly when in apparent health, when unattended by a physician, in a correctional facility or in any suspicious or unusual manner" (Section 557.f.1)
        *   "The chief medical examiner shall keep full and complete records in such form as may be provided by law. The chief medical examiner shall promptly deliver to the appropriate district attorney copies of all records relating to every death as to which there is, in the judgment of the medical examiner in charge, any indication of criminality." (Section 557.g)
    *   **Why:** The agency must track all deaths requiring medical examiner investigation for legal and public safety purposes.
    *   **One row represents:** A single death investigation case initiated by the Chief Medical Examiner's office.
    *   **Covers:** All deaths falling under the Chief Medical Examiner's jurisdiction.
    *   **Columns:**
        *   Investigation ID
        *   Deceased Individual ID
        *   Deceased Name
        *   Date of Death
        *   Location of Death
        *   Circumstance of Death (Criminal Violence, Accident, Suicide, Sudden/Apparent Health, Unattended, Correctional Facility, Suspicious/Unusual)
        *   Medical Examiner ID
        *   Date Investigation Opened
        *   Date Investigation Closed
        *   Determined Cause of Death
        *   Determined Manner of Death
        *   Criminality Indication (Yes/No)
        *   District Attorney Notified Date
        *   Status (Open, Closed, Pending)
        *   [Birth, Fetal Death, and Death Registrations ID (1)]

3.  **Department Permits**
    *   **Quotes:**
        *   "The board of health in its discretion may grant, suspend or revoke permits for businesses or other matters in respect to any subject dealt with in the health code and regulated by the department and may prescribe reasonable fees for the issuance of said permits." (Section 561.a)
        *   "Every application for a permit or a renewal of an existing permit issued by the commissioner pursuant to this section shall provide an opportunity for the applicant to indicate the language in which such applicant would prefer that inspections in connection with such permit be conducted or alternatively for which language interpretation services be provided." (Section 561.b)
    *   **Why:** The agency must track all permits issued, their status, and associated regulatory actions.
    *   **One row represents:** A single permit application or a permit's current status.
    *   **Covers:** All permits issued, suspended, or revoked by the department for regulated businesses and matters.
    *   **Columns:**
        *   Permit ID
        *   Application ID
        *   Permit Type
        *   Applicant/Business Name
        *   Applicant/Business Address
        *   Application Date
        *   Issuance Date
        *   Expiration Date
        *   Status (Applied, Issued, Active, Suspended, Revoked, Expired)
        *   Fee Amount
        *   Fee Payment Date
        *   Suspension/Revocation Date
        *   Reason for Suspension/Revocation
        *   Appeal Filed (Yes/No)
        *   Appeal Outcome
        *   Preferred Inspection Language
        *   [Department Inspections ID (5)] (for inspections related to the permit)

4.  **Health Code Violations and Enforcement Actions**
    *   **Quotes:**
        *   "Each inspector or other employee of the department who issues notices of violation shall... have access at the time that a violation is issued to equipment allowing such person: (a) to determine if such violation is a first-time violation of the applicable provision of law, and (b) if permitted by law, to issue a warning for such violation and to record that such a warning has been issued;" (Section 556.a.1)
        *   "Except as otherwise provided by law, assess any penalty prescribed for a violation of or a failure to comply with any provision of this chapter or any lawful notice, order or regulation pursuant thereto, not exceeding one thousand dollars, which penalty may be assessed after a hearing or an opportunity to be heard." (Section 555.b.2)
        *   "Any violation of the health code shall be treated and punished as a misdemeanor. The board of health or an administrative tribunal established by the board of health to enforce the provisions of the health code shall have the power to enforce its final decisions and orders imposing pecuniary penalties as if they were money judgments" (Section 558.e)
        *   "Except in cases where it is otherwise provided by law, every violation, neglect or refusal by any person to comply with any order of the commissioner or the board of health shall be triable by a judge of the New York city criminal court and shall be treated and punished as a misdemeanor." (Section 562)
    *   **Why:** The agency must track all violations, warnings, penalties, and enforcement actions to ensure public health compliance.
    *   **One row represents:** A single violation or enforcement action taken.
    *   **Covers:** All violations of health code, department orders, and associated enforcement actions (warnings, penalties, tribunal decisions).
    *   **Columns:**
        *   Violation ID
        *   [Department Inspections ID (5)] (if originating from an inspection)
        *   Regulated Entity ID (e.g., [Department Permits ID (3)], [Healthcare Facility Registrations/Licenses ID (8)], [Mental Hygiene Service Provider Registrations/Contracts ID (6)])
        *   Violation Date
        *   Violation Type/Code
        *   Description of Violation
        *   Issuing Inspector ID
        *   Is First-Time Violation (Yes/No)
        *   Action Taken (Warning, Notice of Violation, Penalty Assessment, Order Issued)
        *   Warning Issued (Yes/No)
        *   Penalty Amount Assessed
        *   Hearing Date
        *   Hearing Outcome
        *   Administrative Tribunal Decision Date
        *   Penalty Amount Paid
        *   Date Paid
        *   Status (Open, Closed, Appealed, Referred to DA/Court)
        *   Compliance Date
        *   Order ID (if related to a specific order)

5.  **Department Inspections**
    *   **Quotes:**
        *   "Each inspector or other employee of the department who issues notices of violation shall... have access at the time that a violation is issued to equipment allowing such person: (a) to determine if such violation is a first-time violation of the applicable provision of law, and (b) if permitted by law, to issue a warning for such violation and to record that such a warning has been issued;" (Section 556.a.1)
        *   "arrange for the visitation, inspection and investigation of all providers of services for the mentally disabled, by the department or otherwise;" (Section 556.c.5)
        *   "The department of health and mental hygiene shall make unannounced visits of such day care services if such board receives a complaint... Such board shall also prescribe in such code that during the period for which day care services are authorized upon any premises, the department shall whenever possible make at least one unannounced visit of every such premises annually." (Section 558.d)
        *   "The commissioner and such officers or employees of the department as are designated by him may, at reasonable times, and pursuant to a search warrant when required by law, without fee or hindrance enter, examine and inspect all vessels, premises, grounds, structures, buildings and every part thereof and all underground passages of every sort in the city for compliance with the provisions of law enforced by the department and its rules and regulations" (Section 566)
    *   **Why:** The agency must track all inspections conducted to ensure compliance with health regulations and identify potential violations.
    *   **One row represents:** A single inspection event conducted by the department.
    *   **Covers:** All inspections across various regulated entities and areas (e.g., general health code, mental hygiene providers, day care services, water supply, food/drug businesses, radiation sources, permitted businesses).
    *   **Columns:**
        *   Inspection ID
        *   Inspection Date
        *   Inspector ID
        *   Regulated Entity ID (e.g., [Department Permits ID (3)], [Healthcare Facility Registrations/Licenses ID (8)], [Mental Hygiene Service Provider Registrations/Contracts ID (6)], [Department Facilities and Assets ID (16)])
        *   Entity Type
        *   Inspection Type (e.g., Routine, Complaint-based, Permit-related, Unannounced Day Care, Water Quality, Food Safety, Radiation Safety)
        *   Inspection Outcome (e.g., Compliant, Minor Issues, Violation Issued)
        *   [Health Code Violations and Enforcement Actions ID (4)] (if a violation was issued)
        *   Notes/Observations
        *   Follow-up Required (Yes/No)
        *   Follow-up Date

6.  **Mental Hygiene Service Provider Registrations/Contracts**
    *   **Quotes:**
        *   "Provider of services. The term "provider of services" means an individual, association, corporation or public or private agency which provides for the mentally disabled." (Section 550.a)
        *   "coordinate the fiscal and programmatic administration of contracts awarded by the department for mental health, intellectual and developmental disability, and alcoholism services." (Section 552)
        *   "establish coordination and cooperation among all providers of services for the mentally disabled" (Section 556.b.5)
        *   "within the amounts appropriated therefor, enter into contracts for the rendition or operation of services and facilities for the mentally disabled on a per capita basis or otherwise, including contracts executed pursuant to subdivision e of section 41.19 of the mental hygiene law;" (Section 556.d.9)
        *   "use the services and facilities of public or private voluntary institutions whenever practical, and encourage all providers of services to cooperate with or participate in the program of services for the mentally disabled, whether by contract or otherwise." (Section 556.d.11)
        *   "Contracts for services and facilities under this chapter may be made with a public or private voluntary hospital, clinic, laboratory, health, welfare or mental hygiene agency or other similar institution, notwithstanding that any member of the board or its subcommittees is an officer or employee of such institution or agency or is a member of the medical or consultant staff thereof." (Section 568.b.1)
